username,repo_name,stars,repo_url
amphp,amp,3400.0,https://github.com/amphp/amp
danog,MadelineProto,1800.0,https://github.com/danog/MadelineProto
amphp,http-server,1200.0,https://github.com/amphp/http-server
unreal4u,telegram-api,683.0,https://github.com/unreal4u/telegram-api
amphp,http-client,589.0,https://github.com/amphp/http-client
amphp,parallel,526.0,https://github.com/amphp/parallel
php-service-bus,service-bus,308.0,https://github.com/php-service-bus/service-bus
amphp,byte-stream,257.0,https://github.com/amphp/byte-stream
amphp,mysql,256.0,https://github.com/amphp/mysql
amphp,parallel-functions,201.0,https://github.com/amphp/parallel-functions
amphp,process,148.0,https://github.com/amphp/process
amphp,socket,141.0,https://github.com/amphp/socket
amphp,redis,118.0,https://github.com/amphp/redis
kelunik,acme,106.0,https://github.com/kelunik/acme
amphp,dns,101.0,https://github.com/amphp/dns
amphp,websocket-client,93.0,https://github.com/amphp/websocket-client
PeeHaa,mailgrab,91.0,https://github.com/PeeHaa/mailgrab
amphp,sync,88.0,https://github.com/amphp/sync
jolicode,asynit,68.0,https://github.com/jolicode/asynit
amphp,websocket-server,66.0,https://github.com/amphp/websocket-server
amphp,file,59.0,https://github.com/amphp/file
amphp,cache,60.0,https://github.com/amphp/cache
amphp,postgres,58.0,https://github.com/amphp/postgres
amphp,serialization,57.0,https://github.com/amphp/serialization
amphp,beanstalk,55.0,https://github.com/amphp/beanstalk
amphp,windows-registry,56.0,https://github.com/amphp/windows-registry
amphp,hpack,54.0,https://github.com/amphp/hpack
phpinnacle,ridge,44.0,https://github.com/phpinnacle/ridge
amphp,aerys,42.0,https://github.com/amphp/aerys
Room-11,Jeeves,40.0,https://github.com/Room-11/Jeeves
