username,repo_name,stars,repo_url
sindresorhus,awesome,179000.0,https://github.com/sindresorhus/awesome
vinta,awesome-python,109000.0,https://github.com/vinta/awesome-python
avelino,awesome-go,71700.0,https://github.com/avelino/awesome-go
awesome-selfhosted,awesome-selfhosted,69300.0,https://github.com/awesome-selfhosted/awesome-selfhosted
trimstray,the-book-of-secret-knowledge,54700.0,https://github.com/trimstray/the-book-of-secret-knowledge
papers-we-love,papers-we-love,50600.0,https://github.com/papers-we-love/papers-we-love
521xueweihan,HelloGitHub,49200.0,https://github.com/521xueweihan/HelloGitHub
Hack-with-Github,Awesome-Hacking,47900.0,https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,46500.0,https://github.com/jaywcjlove/awesome-mac
DopplerHQ,awesome-interview-questions,44300.0,https://github.com/DopplerHQ/awesome-interview-questions
sindresorhus,awesome-nodejs,43100.0,https://github.com/sindresorhus/awesome-nodejs
wasabeef,awesome-android-ui,41700.0,https://github.com/wasabeef/awesome-android-ui
vsouza,awesome-ios,38700.0,https://github.com/vsouza/awesome-ios
prakhar1989,awesome-courses,38600.0,https://github.com/prakhar1989/awesome-courses
Solido,awesome-flutter,38400.0,https://github.com/Solido/awesome-flutter
MunGell,awesome-for-beginners,36900.0,https://github.com/MunGell/awesome-for-beginners
binhnguyennus,awesome-scalability,36600.0,https://github.com/binhnguyennus/awesome-scalability
fffaraz,awesome-cpp,35000.0,https://github.com/fffaraz/awesome-cpp
tiimgreen,github-cheat-sheet,33500.0,https://github.com/tiimgreen/github-cheat-sheet
dypsilon,frontend-dev-bookmarks,32900.0,https://github.com/dypsilon/frontend-dev-bookmarks
akullpp,awesome-java,30700.0,https://github.com/akullpp/awesome-java
serhii-londar,open-source-mac-os-apps,28800.0,https://github.com/serhii-londar/open-source-mac-os-apps
dkhamsing,open-source-ios-apps,28700.0,https://github.com/dkhamsing/open-source-ios-apps
brillout,awesome-react-components,28500.0,https://github.com/brillout/awesome-react-components
ziadoz,awesome-php,26000.0,https://github.com/ziadoz/awesome-php
herrbischoff,awesome-macos-command-line,25600.0,https://github.com/herrbischoff/awesome-macos-command-line
goabstract,Awesome-Design-Tools,23700.0,https://github.com/goabstract/Awesome-Design-Tools
rust-unofficial,awesome-rust,23000.0,https://github.com/rust-unofficial/awesome-rust
alebcay,awesome-shell,22600.0,https://github.com/alebcay/awesome-shell
sindresorhus,awesome-electron,22200.0,https://github.com/sindresorhus/awesome-electron
