username,repo_name,stars,repo_url
CyC2018,CS-Notes,143000.0,https://github.com/CyC2018/CS-Notes
practical-tutorials,project-based-learning,59700.0,https://github.com/practical-tutorials/project-based-learning
azl397985856,leetcode,45400.0,https://github.com/azl397985856/leetcode
x64dbg,x64dbg,37700.0,https://github.com/x64dbg/x64dbg
fffaraz,awesome-cpp,35000.0,https://github.com/fffaraz/awesome-cpp
microsoft,calculator,23200.0,https://github.com/microsoft/calculator
CMU-Perceptual-Computing-Lab,openpose,22700.0,https://github.com/CMU-Perceptual-Computing-Lab/openpose
huihut,interview,21500.0,https://github.com/huihut/interview
youngyangyang04,leetcode-master,18900.0,https://github.com/youngyangyang04/leetcode-master
yuzu-emu,yuzu,17300.0,https://github.com/yuzu-emu/yuzu
TheAlgorithms,C-Plus-Plus,17000.0,https://github.com/TheAlgorithms/C-Plus-Plus
changkun,modern-cpp-tutorial,15800.0,https://github.com/changkun/modern-cpp-tutorial
microsoft,vcpkg,14400.0,https://github.com/microsoft/vcpkg
catchorg,Catch2,14300.0,https://github.com/catchorg/Catch2
ethereum,solidity,13400.0,https://github.com/ethereum/solidity
gabime,spdlog,13300.0,https://github.com/gabime/spdlog
AnthonyCalandra,modern-cpp-features,13100.0,https://github.com/AnthonyCalandra/modern-cpp-features
Qv2ray,Qv2ray,12800.0,https://github.com/Qv2ray/Qv2ray
facebook,infer,12800.0,https://github.com/facebook/infer
CoatiSoftware,Sourcetrail,12300.0,https://github.com/CoatiSoftware/Sourcetrail
google,tink,11800.0,https://github.com/google/tink
ssloy,tinyrenderer,11700.0,https://github.com/ssloy/tinyrenderer
antlr,antlr4,11100.0,https://github.com/antlr/antlr4
SFTtech,openage,10700.0,https://github.com/SFTtech/openage
kyleneideck,BackgroundMusic,10600.0,https://github.com/kyleneideck/BackgroundMusic
OpenRCT2,OpenRCT2,10100.0,https://github.com/OpenRCT2/OpenRCT2
compiler-explorer,compiler-explorer,9800.0,https://github.com/compiler-explorer/compiler-explorer
Ciphey,Ciphey,9100.0,https://github.com/Ciphey/Ciphey
hmemcpy,milewski-ctfp-pdf,9000.0,https://github.com/hmemcpy/milewski-ctfp-pdf
codota,TabNine,8800.0,https://github.com/codota/TabNine
