username,repo_name,stars,repo_url
localstack,localstack,37500.0,https://github.com/localstack/localstack
harness,drone,24300.0,https://github.com/harness/drone
jenkinsci,jenkins,18200.0,https://github.com/jenkinsci/jenkins
auchenberg,volkswagen,12100.0,https://github.com/auchenberg/volkswagen
openshift,origin,8000.0,https://github.com/openshift/origin
gocd,gocd,6300.0,https://github.com/gocd/gocd
concourse,concourse,6000.0,https://github.com/concourse/concourse
theonedev,onedev,4800.0,https://github.com/theonedev/onedev
buildbot,buildbot,4700.0,https://github.com/buildbot/buildbot
gaia-pipeline,gaia,4500.0,https://github.com/gaia-pipeline/gaia
Strider-CD,strider,4500.0,https://github.com/Strider-CD/strider
jenkins-x,jx,4000.0,https://github.com/jenkins-x/jx
hygieia,hygieia,3700.0,https://github.com/hygieia/hygieia
xcpretty,xcpretty,3700.0,https://github.com/xcpretty/xcpretty
ovh,cds,3700.0,https://github.com/ovh/cds
cake-build,cake,3100.0,https://github.com/cake-build/cake
iterative,cml,2800.0,https://github.com/iterative/cml
werf,werf,2800.0,https://github.com/werf/werf
ligurio,awesome-ci,2700.0,https://github.com/ligurio/awesome-ci
tox-dev,tox,2500.0,https://github.com/tox-dev/tox
dancryer,PHPCI,2400.0,https://github.com/dancryer/PHPCI
TheLartians,ModernCppStarter,2400.0,https://github.com/TheLartians/ModernCppStarter
dreamans,syncd,2100.0,https://github.com/dreamans/syncd
shivammathur,setup-php,1900.0,https://github.com/shivammathur/setup-php
houndci,hound,1900.0,https://github.com/houndci/hound
fabric8io,fabric8,1800.0,https://github.com/fabric8io/fabric8
lastbackend,lastbackend,1500.0,https://github.com/lastbackend/lastbackend
nuke-build,nuke,1300.0,https://github.com/nuke-build/nuke
FlowCI,flow-core-x,1300.0,https://github.com/FlowCI/flow-core-x
Flagsmith,flagsmith,1200.0,https://github.com/Flagsmith/flagsmith
